position,gap_to_leader,tire_age,tire_compound,pit_stops,laps_remaining,safety_car,vsc,radio_sentiment,radio_pit_keyword,position_change_3lap,gap_delta_3lap,won,year,driver_number,lap_number
14,129.95499999999993,24,1,1,3.0,0,0,0.0,0,0,10.429000000000087,0,2018,14,50.0
14,134.03700000000026,25,1,1,2.0,0,0,0.0,0,0,10.877000000000407,0,2018,14,51.0
14,138.01000000000022,26,1,1,1.0,0,0,0.0,0,0,12.345000000000256,0,2018,14,52.0
13,14.52800000000002,1,0,0,51.0,0,0,0.0,0,0,0.0,0,2018,16,2.0
13,17.50999999999999,2,0,0,50.0,0,0,0.0,0,0,0.0,0,2018,16,3.0
11,20.76599999999985,3,0,0,49.0,1,0,0.0,0,0,0.0,0,2018,16,4.0
19,29.74600000000009,1,1,1,48.0,0,0,0.0,0,-6,15.218000000000076,0,2018,16,5.0
18,23.54199999999992,2,1,1,47.0,0,0,0.0,0,-5,6.031999999999925,0,2018,16,6.0
18,8.118000000000166,3,1,1,46.0,0,0,0.0,0,-7,-12.647999999999683,0,2018,16,7.0
15,12.320000000000164,4,1,1,45.0,0,0,0.0,0,4,-17.42599999999993,0,2018,16,8.0
15,17.557000000000244,5,1,1,44.0,0,0,0.0,0,3,-5.984999999999673,0,2018,16,9.0
15,21.904,6,1,1,43.0,0,0,0.0,0,3,13.78599999999983,0,2018,16,10.0
15,25.453999999999724,7,1,1,42.0,0,0,0.0,0,0,13.13399999999956,0,2018,16,11.0
15,28.044000000000324,8,1,1,41.0,0,0,0.0,0,0,10.48700000000008,0,2018,16,12.0
14,29.57900000000018,9,1,1,40.0,0,0,0.0,0,1,7.675000000000182,0,2018,16,13.0
14,31.922000000000025,10,1,1,39.0,0,0,0.0,0,1,6.468000000000302,0,2018,16,14.0
15,35.41300000000001,11,1,1,38.0,0,0,0.0,0,0,7.368999999999687,0,2018,16,15.0
15,38.51499999999987,12,1,1,37.0,0,0,0.0,0,-1,8.935999999999694,0,2018,16,16.0
15,41.71199999999999,13,1,1,36.0,0,0,0.0,0,-1,9.789999999999964,0,2018,16,17.0
15,44.61700000000019,14,1,1,35.0,0,0,0.0,0,0,9.204000000000178,0,2018,16,18.0
15,47.065000000000055,15,1,1,34.0,0,0,0.0,0,0,8.550000000000182,0,2018,16,19.0
15,50.37800000000016,16,1,1,33.0,0,0,0.0,0,0,8.666000000000167,0,2018,16,20.0
15,53.27099999999973,17,1,1,32.0,0,0,0.0,0,0,8.653999999999542,0,2018,16,21.0
15,56.47899999999981,18,1,1,31.0,0,0,0.0,0,0,9.41399999999976,0,2018,16,22.0
15,60.17699999999968,19,1,1,30.0,0,0,0.0,0,0,9.798999999999523,0,2018,16,23.0
15,60.99099999999999,20,1,1,29.0,0,0,0.0,0,0,7.720000000000255,0,2018,16,24.0
14,46.30600000000004,21,1,1,28.0,0,0,0.0,0,1,-10.172999999999774,0,2018,16,25.0
14,50.39499999999998,22,1,1,27.0,0,0,0.0,0,1,-9.781999999999698,0,2018,16,26.0
11,54.2199999999998,23,1,1,26.0,0,0,0.0,0,4,-6.7710000000001855,0,2018,16,27.0
10,57.76099999999997,24,1,1,25.0,0,0,0.0,0,4,11.454999999999927,0,2018,16,28.0
9,59.51000000000022,25,1,1,24.0,0,0,0.0,0,5,9.115000000000236,0,2018,16,29.0
9,63.14000000000033,26,1,1,23.0,0,0,0.0,0,2,8.920000000000528,0,2018,16,30.0
11,67.67399999999998,27,1,1,22.0,0,0,0.0,0,-1,9.913000000000013,0,2018,16,31.0
11,70.10300000000007,28,1,1,21.0,0,0,0.0,0,-2,10.592999999999847,0,2018,16,32.0
10,72.20399999999972,29,1,1,20.0,0,0,0.0,0,-1,9.063999999999396,0,2018,16,33.0
11,75.58199999999943,30,1,1,19.0,0,0,0.0,0,0,7.907999999999447,0,2018,16,34.0
13,81.51599999999962,31,1,1,18.0,0,0,0.0,0,-2,11.412999999999556,0,2018,16,35.0
19,106.3069999999998,5,0,2,17.0,0,0,0.0,0,-9,34.103000000000065,0,2018,16,36.0
18,105.90999999999984,6,0,2,16.0,0,0,0.0,0,-7,30.32800000000043,0,2018,16,37.0
18,104.84999999999944,7,0,2,15.0,0,0,0.0,0,-5,23.333999999999836,0,2018,16,38.0
18,160.125,8,0,2,14.0,0,1,0.0,0,1,53.81800000000021,0,2018,16,39.0
16,17.33699999999999,1,0,0,51.0,0,0,0.0,0,0,0.0,0,2018,18,2.0
16,20.75299999999993,2,0,0,50.0,0,0,0.0,0,0,0.0,0,2018,18,3.0
16,26.85299999999984,3,0,0,49.0,1,0,0.0,0,0,0.0,0,2018,18,4.0
15,17.814000000000078,4,0,0,48.0,0,0,0.0,0,1,0.4770000000000891,0,2018,18,5.0
15,19.09400000000005,5,0,0,47.0,0,0,0.0,0,1,-1.658999999999878,0,2018,18,6.0
15,6.70900000000006,6,0,0,46.0,0,0,0.0,0,1,-20.143999999999775,0,2018,18,7.0
14,11.781000000000404,7,0,0,45.0,0,0,0.0,0,1,-6.032999999999674,0,2018,18,8.0
14,17.146000000000186,8,0,0,44.0,0,0,0.0,0,1,-1.9479999999998652,0,2018,18,9.0
14,21.29800000000023,9,0,0,43.0,0,0,0.0,0,1,14.58900000000017,0,2018,18,10.0
14,25.01800000000003,10,0,0,42.0,0,0,0.0,0,0,13.236999999999624,0,2018,18,11.0
14,27.613000000000284,11,0,0,41.0,0,0,0.0,0,0,10.467000000000098,0,2018,18,12.0
16,31.856000000000225,12,0,0,40.0,0,0,0.0,0,-2,10.557999999999993,0,2018,18,13.0
17,37.20899999999983,13,0,0,39.0,0,0,0.0,0,-3,12.190999999999804,0,2018,18,14.0
19,56.88900000000013,1,1,1,38.0,0,0,0.0,0,-5,29.27599999999984,0,2018,18,15.0
19,57.9409999999998,2,1,1,37.0,0,0,0.0,0,-3,26.08499999999958,0,2018,18,16.0
19,59.20499999999993,3,1,1,36.0,0,0,0.0,0,-2,21.99600000000009,0,2018,18,17.0
19,60.84700000000021,4,1,1,35.0,0,0,0.0,0,0,3.958000000000084,0,2018,18,18.0
19,62.64000000000033,5,1,1,34.0,0,0,0.0,0,0,4.699000000000524,0,2018,18,19.0
19,65.38200000000006,6,1,1,33.0,0,0,0.0,0,0,6.177000000000135,0,2018,18,20.0
19,67.77199999999993,7,1,1,32.0,0,0,0.0,0,0,6.924999999999727,0,2018,18,21.0
19,70.36999999999989,8,1,1,31.0,0,0,0.0,0,0,7.729999999999563,0,2018,18,22.0
19,73.02799999999979,9,1,1,30.0,0,0,0.0,0,0,7.645999999999731,0,2018,18,23.0
18,73.20000000000027,10,1,1,29.0,0,0,0.0,0,1,5.428000000000338,0,2018,18,24.0
18,58.45499999999993,11,1,1,28.0,0,0,0.0,0,1,-11.914999999999964,0,2018,18,25.0
18,61.86800000000039,12,1,1,27.0,0,0,0.0,0,1,-11.1599999999994,0,2018,18,26.0
17,65.73999999999978,13,1,1,26.0,0,0,0.0,0,1,-7.460000000000491,0,2018,18,27.0
17,68.69000000000005,14,1,1,25.0,0,0,0.0,0,1,10.235000000000127,0,2018,18,28.0
16,70.77900000000045,15,1,1,24.0,0,0,0.0,0,2,8.911000000000058,0,2018,18,29.0
16,72.84299999999985,16,1,1,23.0,0,0,0.0,0,1,7.1030000000000655,0,2018,18,30.0
15,75.3739999999998,17,1,1,22.0,0,0,0.0,0,2,6.683999999999742,0,2018,18,31.0
15,78.42700000000059,18,1,1,21.0,0,0,0.0,0,1,7.648000000000138,0,2018,18,32.0
15,81.50700000000052,19,1,1,20.0,0,0,0.0,0,1,8.66400000000067,0,2018,18,33.0
15,84.19200000000001,20,1,1,19.0,0,0,0.0,0,0,8.818000000000211,0,2018,18,34.0
16,88.29699999999957,21,1,1,18.0,0,0,0.0,0,-1,9.86999999999898,0,2018,18,35.0
15,91.97000000000024,22,1,1,17.0,0,0,0.0,0,0,10.462999999999738,0,2018,18,36.0
16,96.89000000000031,23,1,1,16.0,0,0,0.0,0,-1,12.69800000000032,0,2018,18,37.0
15,99.63499999999932,24,1,1,15.0,0,0,0.0,0,1,11.337999999999738,0,2018,18,38.0
16,107.44599999999993,25,1,1,14.0,0,0,0.0,0,-1,15.475999999999658,0,2018,18,39.0
17,153.45600000000013,1,1,2,13.0,0,1,0.0,0,-1,56.5659999999998,0,2018,18,40.0
17,137.21499999999924,2,1,2,12.0,0,0,0.0,0,-2,37.57999999999993,0,2018,18,41.0
17,133.15699999999924,3,1,2,11.0,0,0,0.0,0,-1,25.71099999999933,0,2018,18,42.0
17,133.46900000000005,4,1,2,10.0,0,0,0.0,0,0,-19.98700000000008,0,2018,18,43.0
17,135.0869999999995,5,1,2,9.0,0,0,0.0,0,0,-2.1279999999997017,0,2018,18,44.0
17,136.17699999999968,6,1,2,8.0,0,0,0.0,0,0,3.020000000000437,0,2018,18,45.0
17,137.61099999999988,7,1,2,7.0,0,0,0.0,0,0,4.141999999999825,0,2018,18,46.0
17,139.11200000000008,8,1,2,6.0,0,0,0.0,0,0,4.025000000000546,0,2018,18,47.0
17,140.0079999999998,9,1,2,5.0,0,0,0.0,0,0,3.831000000000131,0,2018,18,48.0
17,140.08199999999945,10,1,2,4.0,0,0,0.0,0,0,2.470999999999549,0,2018,18,49.0
17,141.60699999999997,11,1,2,3.0,0,0,0.0,0,0,2.494999999999891,0,2018,18,50.0
17,143.33600000000024,12,1,2,2.0,0,0,0.0,0,0,3.3280000000004293,0,2018,18,51.0
17,145.91899999999987,13,1,2,1.0,0,0,0.0,0,0,5.837000000000444,0,2018,18,52.0
19,19.452,1,0,0,51.0,0,0,0.0,0,0,0.0,0,2018,2,2.0
19,23.16899999999987,2,0,0,50.0,0,0,0.0,0,0,0.0,0,2018,2,3.0
19,28.97199999999998,3,0,0,49.0,1,0,0.0,0,0,0.0,0,2018,2,4.0
16,19.310000000000173,4,0,0,48.0,0,0,0.0,0,3,-0.1419999999998253,0,2018,2,5.0
16,20.600999999999885,5,0,0,47.0,0,0,0.0,0,3,-2.567999999999984,0,2018,2,6.0
